order number,X param,Y param,Analytics,NLP Science,other
1,student,,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
2,student,duration_ms,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
3,,ms_per_word,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
4,,word_count,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
5,student,unique_ratio,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
6,student,levenshtein_dist,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
7,,semantic_overlap,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
8,punc_density,expansion_ratio,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
9,pos_adj,"pos_noun, pos_verb",,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
10,readability_ari,corrected_ttr,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
11,subjectivity,sentiment,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
12,psychotype,sentiment_variance,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
13,bias,repetition_score,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
14,psychotype,avg_sentence_length,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
15,neuro_self_focus,rigidity,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
16,neuro_self_focus,rigidity,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
17,bias,rigidity,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
18,neuro_abstract_ratio_ext,neuro_cognitive_load,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
19,psychotype,neuro_coherence,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
20,psychotype,sentiment_variance,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
21,x,y,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
22,,,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
23,x,y,,,"calculate_advanced_linguistic_metrics , neuro_metrics, nlp_science"
